,ABF File,Data Type,Exp. Date,Case #,Cell #,Cell Layer,Stim Type,Threshold,Gain Value,ZD,Hold,,Gain,Offset,Response Channel,Command Channel,RMP,Stimulus type
119,18125017,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
120,18125018,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
121,18125019,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
122,18125020,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
123,18125021,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
124,18125022,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
125,18125015,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,40,n.a,n.a,,,,,,,
126,18125016,Human,Jan_25_2018,n.a,C4,L5,Gain,n.a,40,n.a,n.a,,,,,,,
130,18129010,Human,Jan_29_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
131,18129011,Human,Jan_29_2018,n.a,C3,L5,Gain,n.a,20,n.a,n.a,,,,,,,
132,18129012,Human,Jan_29_2018,n.a,C3,L5,Gain,n.a,40_Not,n.a,n.a,,,,,,,
133,18129015,Human,Jan_29_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
134,18129016,Human,Jan_29_2018,n.a,C4,L5,Gain,n.a,20,n.a,n.a,,,,,,,
138,18329052,Human,March_29_2018,n.a,C10,L23,Gain,n.a,40,n.a,n.a,,,,,,,
142,18329015,Human,March_29_2018,n.a,C3,L23,Gain,n.a,20,n.a,n.a,,,,,,,
145,18329021,Human,March_29_2018,n.a,C4,L23,Gain,n.a,125,n.a,n.a,,,,,,,
146,18329022,Human,March_29_2018,n.a,C4,L23,Gain,n.a,125,n.a,n.a,,,,,,,
147,18329018,Human,March_29_2018,n.a,C4,L23,Gain,n.a,20,n.a,n.a,,,,,,,
148,18329020,Human,March_29_2018,n.a,C4,L23,Gain,n.a,20,n.a,n.a,,,,,,,
152,18329041,Human,March_29_2018,n.a,C9.1,L23,Gain,n.a,20,n.a,n.a,,,,,,,
155,18329047,Human,March_29_2018,n.a,C9.2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
156,18329048,Human,March_29_2018,n.a,C9.2,L23,Gain,n.a,20,n.a,n.a,,,,,,,
159,18o22004,Human,October_ 22_2018,n.a,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
160,18o22005,Human,October_ 22_2018,n.a,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
161,18o22006,Human,October_ 22_2018,n.a,C1,L23,Gain,n.a,40,n.a,n.a,,,,,,,
164,18o22011,Human,October_ 22_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
165,18o22012,Human,October_ 22_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
166,18o22014,Human,October_ 22_2018,n.a,C2,L23,Gain,n.a,40,n.a,n.a,,,,,,,
169,18o22021,Human,October_ 22_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
170,18o22023,Human,October_ 22_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
171,18o22024,Human,October_ 22_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
172,18o22025,Human,October_ 22_2018,n.a,C3,L23,Gain,n.a,40,n.a,n.a,,,,,,,
3,18129005,Human,Jan_29_2018,n.a,C2,L5,n.a,n.a,n.a,n.a,n.a,,,,,,,
4,18129006,Human,Jan_29_2018,n.a,C2,L5,n.a,n.a,n.a,n.a,n.a,,,,,,,
5,18129007,Human,Jan_29_2018,n.a,C2,L5,n.a,n.a,n.a,n.a,n.a,,,,,,,
173,18129015,Human,Jan_29_2018,n.a,C4,L5,n.a,n.a,n.a,n.a,n.a,,,,,,,
174,18129016,Human,Jan_29_2018,n.a,C4,L5,n.a,n.a,n.a,n.a,n.a,,,,,,,
